1.161599, -0.184845, 0.000000
1.478218, -0.258697, -0.247380
1.785124, -0.342318, -0.303190
2.072601, -0.445476, -0.406172
2.330936, -0.577940, -0.567117
2.551804, -0.748204, -0.760141
2.737245, -0.955264, -0.929851
2.893980, -1.193826, -1.058893
3.028753, -1.458576, -1.150086
3.148308, -1.744196, -1.207692
3.259389, -2.045373, -1.236198
3.368739, -2.356791, -1.238876
3.483103, -2.673134, -1.217513
3.609225, -2.989088, -1.172060
3.753742, -3.299306, -1.106460
3.920006, -3.597503, -1.028436
4.107546, -3.876299, -0.938664
4.315671, -4.128254, -0.831733
4.543693, -4.345927, -0.702042
4.790923, -4.521875, -0.544208
5.056672, -4.648659, -0.353986
5.340241, -4.718854, -0.141266
5.638788, -4.728886, 0.057619
5.944661, -4.683818, 0.224164
6.249555, -4.589889, 0.367018
6.545162, -4.453339, 0.495344
6.823176, -4.280407, 0.617624
7.075290, -4.077332, 0.741600
7.295091, -3.849763, 0.866236
7.483184, -3.601159, 0.983116
7.641800, -3.334471, 1.089399
7.773170, -3.052650, 1.184397
7.879525, -2.758648, 1.268114
7.963097, -2.455417, 1.341201
8.026117, -2.145907, 1.404533
8.070815, -1.833070, 1.459111
8.099198, -1.519621, 1.509112
8.111839, -1.206769, 1.559024
8.108740, -0.895122, 1.609563
8.089904, -0.585289, 1.660570
8.055333, -0.277881, 1.712102
8.005029, 0.026495, 1.764198
7.938995, 0.327230, 1.816908
7.857232, 0.623714, 1.870195
7.759744, 0.915339, 1.924095
7.646535, 1.201494, 1.978415
7.517775, 1.481472, 2.032664
7.373874, 1.754423, 2.086712
7.215263, 2.019486, 2.140793
7.042370, 2.275802, 2.195097
6.855626, 2.522508, 2.249797
6.655462, 2.758744, 2.305066
6.442306, 2.983650, 2.361125
6.216595, 3.196368, 2.417734
5.978995, 3.396147, 2.474045
5.730464, 3.582378, 2.529792
5.471976, 3.754457, 2.585320
5.204509, 3.911782, 2.640912
4.929038, 4.053750, 2.696829
4.646538, 4.179759, 2.753336
4.357987, 4.289206, 2.810705
4.064360, 4.381489, 2.869195
3.766583, 4.456064, 2.928422
3.465286, 4.512749, 2.987649
3.160987, 4.551497, 3.046651
2.854201, 4.572261, 3.105352
2.545447, 4.574995, -3.119539
2.235242, 4.559652, -3.061740
1.924102, 4.526185, -3.004609
1.612557, 4.474543, -2.947724
1.302019, 4.404429, -2.888748
0.995366, 4.315128, -2.825442
0.695613, 4.205889, -2.756842
0.405776, 4.075961, -2.681921
0.128869, 3.924593, -2.599692
-0.132091, 3.751032, -2.509351
-0.374089, 3.554527, -2.410434
-0.594109, 3.334326, -2.302984
-0.789137, 3.089678, -2.187473
-0.956146, 2.820089, -2.068982
-1.091964, 2.528908, -1.952188
-1.193303, 2.222443, -1.834752
-1.256875, 1.907074, -1.711783
-1.279389, 1.589185, -1.578962
-1.257557, 1.275158, -1.432296
-1.188088, 0.971374, -1.267647
-1.067976, 0.684180, -1.094456
-0.900013, 0.419196, -0.932635
-0.692418, 0.181357, -0.786003
-0.453616, -0.024425, -0.646813
-0.192033, -0.193238, -0.507177
0.084159, -0.320527, -0.365006
0.370629, -0.407112, -0.232033
0.666025, -0.457984, -0.117695
0.969071, -0.478242, -0.023427
1.278493, -0.472986, 0.050890
1.593018, -0.447315, 0.106503
1.911370, -0.406329, 0.144929
2.232275, -0.355127, 0.167466
2.554459, -0.298809, 0.174933
